,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,busselton,76,AU,1545781621,100,-33.64,115.35,64.64,5.95
44,buraydah,0,SA,1545778800,87,26.33,43.97,55.4,5.82
45,cockburn town,36,TC,1545781552,100,21.46,-71.14,79.58,18.03
46,zapolyarnyy,68,RU,1545780000,92,69.43,30.82,17.6,6.93
47,itarema,12,BR,1545781622,81,-2.92,-39.92,78.27,11.1
48,katsuura,75,JP,1545778800,81,33.93,134.5,46.4,6.93
49,yumen,48,CN,1545781623,60,40.29,97.04,1.1,3.15
50,boskovice,75,CZ,1545778800,69,49.49,16.66,39.2,11.41
51,tuktoyaktuk,20,CA,1545778800,73,69.44,-133.03,-32.81,3.36
52,port hardy,90,CA,1545778800,86,50.7,-127.42,41.0,11.41
53,kharitonovo,88,RU,1545781624,85,61.4,47.5,18.2,12.21
54,yebaishou,0,CN,1545781625,40,41.4,119.64,-5.48,3.38
55,husavik,0,CA,1545781625,65,50.56,-96.99,-8.63,4.61
56,tasiilaq,92,GL,1545778200,92,65.61,-37.64,26.6,1.12
57,tuatapere,44,NZ,1545781626,95,-46.13,167.69,55.37,12.55
58,kuching,75,MY,1545780600,94,1.56,110.34,77.0,2.24
59,udachnyy,56,RU,1545781626,70,66.42,112.4,-36.98,2.59
60,yar-sale,76,RU,1545781627,91,66.83,70.83,4.02,19.71
61,namibe,32,AO,1545781627,100,-15.19,12.15,73.23,2.37
62,maldonado,0,UY,1545778800,69,-34.91,-54.96,75.2,6.93
63,hobart,40,AU,1545778800,55,-42.88,147.33,66.2,8.05
64,goleniow,75,PL,1545780600,75,53.56,14.83,42.8,12.75
65,murgab,90,TM,1545778800,100,37.5,61.97,37.4,5.17
66,jumla,0,NP,1545781628,55,29.28,82.18,-5.25,1.7
67,kodiak,1,US,1545779700,48,39.95,-94.76,44.96,5.82
68,bluff,0,AU,1545781629,40,-23.58,149.07,83.18,12.33
69,new norfolk,40,AU,1545780600,55,-42.78,147.06,64.4,10.29
70,hovd,75,NO,1545778200,70,63.83,10.7,42.8,28.86
71,dikson,80,RU,1545781630,100,73.51,80.55,15.68,31.79
72,karratha,0,AU,1545781630,38,-20.74,116.85,88.53,13.0
73,arraial do cabo,88,BR,1545781631,90,-22.97,-42.02,75.93,4.5
74,san patricio,0,PY,1545781631,79,-26.98,-56.83,79.85,3.94
75,imeni babushkina,88,RU,1545781631,88,59.76,43.13,15.77,9.42
76,boa vista,0,BR,1545778800,48,2.82,-60.67,84.2,10.29
77,constitucion,75,MX,1545777660,16,23.99,-104.67,68.0,17.22
78,faanui,36,PF,1545781633,100,-16.48,-151.75,79.98,11.77
79,longonjo,92,AO,1545781633,98,-12.91,15.25,62.97,2.93
80,natal,40,BR,1545778800,74,-5.81,-35.21,80.6,10.29
81,pangnirtung,88,CA,1545781634,89,66.15,-65.72,-7.1,5.17
82,umm lajj,24,SA,1545781634,100,25.02,37.27,64.5,4.61
83,ilulissat,48,GL,1545778200,62,69.22,-51.1,19.4,3.36
84,yangambi,56,CD,1545781635,91,0.77,24.47,75.98,2.15
85,zhigansk,80,RU,1545781636,41,66.77,123.37,-26.09,6.51
86,thompson,90,CA,1545778800,77,55.74,-97.86,1.4,3.36
87,luderitz,0,NA,1545781636,84,-26.65,15.16,61.67,13.78
88,east london,0,ZA,1545781636,100,-33.02,27.91,71.75,4.94
89,turayf,0,SA,1545778800,93,31.68,38.65,44.6,9.17
90,takoradi,8,GH,1545781637,100,4.89,-1.75,82.01,10.54
91,saskylakh,56,RU,1545781637,77,71.97,114.09,-3.5,13.22
92,alexandria,90,US,1545779700,83,31.31,-92.44,64.04,6.93
93,salta,20,AR,1545778800,69,-24.79,-65.41,80.6,6.93
94,talcahuano,0,CL,1545778800,68,-36.72,-73.12,68.0,8.05
95,victoria,75,BN,1545780600,94,5.28,115.24,78.8,2.24
96,utrecht,75,NL,1545780300,80,52.09,5.11,41.0,12.75
97,blagoyevo,80,RU,1545781639,80,63.37,47.92,18.15,8.19
98,nouadhibou,12,MR,1545781639,75,20.93,-17.03,62.66,6.62
99,kaifeng,0,CN,1545778800,42,34.8,114.35,30.2,8.95
100,carnarvon,0,ZA,1545781640,41,-30.97,22.13,65.72,9.31
101,harsin,0,IR,1545780600,86,34.27,47.59,28.4,4.7
102,saint-leu,0,RE,1545780600,57,-21.15,55.28,77.0,6.93
103,esperance,20,TT,1545778800,78,10.24,-61.45,77.0,3.36
104,avarua,75,CK,1545778800,70,-21.21,-159.78,84.2,8.05
105,vanimo,88,PG,1545781642,100,-2.67,141.3,78.41,4.94
106,bathsheba,20,BB,1545778800,69,13.22,-59.52,78.8,17.22
107,provideniya,90,RU,1545780600,84,64.42,-173.23,8.6,13.42
108,saint-philippe,1,CA,1545780900,88,45.36,-73.48,14.0,8.08
109,srednekolymsk,12,RU,1545781643,0,67.46,153.71,-41.07,2.59
110,lisakovsk,64,KZ,1545781643,75,52.55,62.49,-11.28,6.06
111,klaeng,20,TH,1545781644,100,12.78,101.65,81.11,3.6
112,rocha,0,UY,1545781644,48,-34.48,-54.34,72.42,12.77
113,dingle,68,PH,1545781644,100,11.0,122.67,75.93,5.17
114,shakhunya,88,RU,1545781645,88,57.68,46.61,19.73,8.97
115,tessalit,0,ML,1545781645,39,20.2,1.01,48.3,5.84
116,hofn,64,IS,1545781645,94,64.25,-15.21,43.76,24.18
117,tanda,0,IN,1545781646,73,31.67,75.63,31.2,2.48
118,port alfred,0,ZA,1545781449,98,-33.59,26.89,67.97,4.61
119,haines junction,36,CA,1545781646,69,60.75,-137.51,-12.41,2.37
120,port moresby,20,PG,1545778800,70,-9.47,147.16,86.0,6.93
121,chongwe,0,ZM,1545778800,88,-15.33,28.68,66.2,2.24
122,affery,92,CI,1545781647,48,6.32,-3.95,83.72,4.38
123,havoysund,88,NO,1545780000,79,71.0,24.66,28.4,10.29
124,nyaunglebin,0,MM,1545781647,83,17.95,96.73,55.19,2.04
125,iqaluit,90,CA,1545779460,76,63.75,-68.52,-5.81,25.28
126,mataura,12,NZ,1545781648,63,-46.19,168.86,60.27,15.79
127,inirida,64,CO,1545781648,86,3.87,-67.92,75.48,2.15
128,caravelas,8,BR,1545781649,99,-17.73,-39.27,80.52,19.48
129,labuan,75,BN,1545778800,94,5.28,115.24,78.8,2.24
130,sinnamary,92,GF,1545781649,96,5.38,-52.96,78.95,12.55
131,lebu,0,ET,1545781649,75,8.96,38.73,30.71,2.59
132,maragogi,76,BR,1545781365,94,-9.01,-35.22,75.12,6.85
133,hilo,90,US,1545778380,76,19.71,-155.08,78.08,5.82
134,sao filipe,12,CV,1545781650,93,14.9,-24.5,74.63,13.44
135,blackwater,90,GB,1545780000,100,51.33,-0.78,46.4,3.36
136,blind river,90,CA,1545779700,86,46.19,-82.96,29.12,1.59
137,belmonte,12,PT,1545781651,80,40.36,-7.35,29.27,1.48
138,khatanga,76,RU,1545781652,66,71.98,102.47,-8.58,18.14
139,shimoda,40,JP,1545778800,81,34.7,138.93,48.2,1.12
140,visnes,76,NO,1545780000,87,59.36,5.22,44.6,9.17
141,iaciara,8,BR,1545781653,78,-14.1,-46.63,75.93,3.38
142,fukue,75,JP,1545778800,70,35.03,136.69,46.4,13.87
143,tiksi,76,RU,1545781653,79,71.64,128.87,-18.08,16.46
144,alofi,68,NU,1545778800,66,-19.06,-169.92,86.0,14.99
145,kochinda,0,IN,1545781654,80,21.73,84.35,44.84,2.59
146,salalah,0,OM,1545778200,45,17.01,54.1,68.0,9.17
147,komsomolskiy,88,RU,1545781654,79,67.55,63.78,10.5,14.45
148,souillac,0,FR,1545778800,93,45.6,-0.6,39.2,4.7
149,huron,90,US,1545780180,81,44.36,-98.21,28.04,6.93
150,norman wells,75,CA,1545778800,76,65.28,-126.83,-4.01,8.05
151,bambous virieux,20,MU,1545778800,88,-20.34,57.76,75.2,2.24
152,coquimbo,20,CL,1545778800,82,-29.95,-71.34,62.6,10.29
153,yellowknife,40,CA,1545778800,75,62.45,-114.38,-13.01,5.82
154,nienburg,90,DE,1545780000,75,51.84,11.77,41.0,16.11
155,polyarnyy,75,RU,1545780600,85,69.2,33.45,10.4,2.24
156,margate,40,AU,1545780600,55,-43.03,147.26,64.4,10.29
157,bilibino,64,RU,1545781658,38,68.06,166.44,-25.95,2.59
158,hue,75,VN,1545780600,100,16.47,107.58,71.6,3.36
159,egvekinot,48,RU,1545781658,53,66.32,-179.17,-19.07,3.6
160,sabile,80,LV,1545781658,97,57.05,22.57,35.43,13.56
161,huarmey,56,PE,1545781659,77,-10.07,-78.15,69.05,3.83
162,torbay,90,CA,1545779820,73,47.66,-52.73,24.8,8.05
163,brae,92,GB,1545780000,100,60.4,-1.35,48.2,20.8
164,yueyang,92,CN,1545781660,100,29.36,113.12,43.49,8.75
165,dehloran,0,IR,1545781483,82,32.69,47.27,38.67,3.71
166,novoagansk,0,RU,1545781660,80,61.94,76.66,-17.81,7.74
167,inhuma,24,BR,1545781661,77,-6.67,-41.71,75.08,4.61
168,guerrero negro,92,MX,1545781661,84,27.97,-114.04,61.76,17.58
169,kieta,12,PG,1545781661,85,-6.22,155.63,85.34,8.3
170,abu samrah,0,SY,1545781661,77,35.3,37.18,38.67,4.94
171,corner brook,90,CA,1545778800,85,48.95,-57.95,24.8,10.29
172,burgersdorp,0,ZA,1545781662,83,-30.99,26.32,57.26,3.38
173,matara,92,PE,1545781662,94,-13.74,-72.9,46.28,1.7
174,fuerte olimpo,48,BR,1545781663,87,-21.04,-57.87,79.62,3.71
175,road town,20,VG,1545778800,69,18.42,-64.62,78.8,10.29
176,cherskiy,24,RU,1545781663,53,68.75,161.3,-31.17,4.72
177,kajaani,90,FI,1545780000,100,64.22,27.73,26.6,10.29
178,saint-pierre,90,FR,1545778800,100,48.95,4.24,26.6,5.82
179,walvis bay,20,NA,1545778800,82,-22.95,14.51,64.4,12.75
180,kijang,0,KR,1545778800,69,35.24,129.21,39.2,3.36
181,talnakh,80,RU,1545781665,80,69.49,88.39,-18.35,19.26
182,chapais,40,CA,1545778800,76,49.78,-74.86,-5.81,3.36
183,anadyr,20,RU,1545780600,67,64.73,177.51,-22.01,15.66
184,coihaique,0,CL,1545778800,44,-45.58,-72.07,60.8,8.05
185,black forest,0,AU,1545780600,57,-34.96,138.58,75.2,8.05
186,carauari,24,BR,1545781667,83,-4.88,-66.9,80.07,2.48
187,mar del plata,0,AR,1545781667,59,-46.43,-67.52,60.68,19.26
188,avera,1,US,1545780900,84,33.19,-82.53,55.04,3.49
189,saint-joseph,0,FR,1545778800,100,43.56,6.97,37.4,1.25
190,mayo,20,CA,1545778800,75,63.59,-135.9,-16.61,8.05
191,faya,0,SA,1545778800,53,18.39,42.45,51.8,3.15
192,portoferraio,0,IT,1545778500,100,42.81,10.31,35.6,3.36
193,padang,20,ID,1545778800,88,-0.92,100.36,73.4,2.24
194,chokurdakh,44,RU,1545781669,68,70.62,147.9,-22.76,12.66
195,nelson bay,0,AU,1545780600,54,-32.72,152.14,80.6,5.82
196,waipawa,88,NZ,1545781670,95,-39.94,176.59,63.02,9.42
197,anloga,0,GH,1545778800,69,5.79,0.9,80.6,3.36
198,naze,20,NG,1545781671,87,5.43,7.07,72.47,7.18
199,lavrentiya,64,RU,1545781671,100,65.58,-170.99,8.93,9.75
200,pisco,40,PE,1545778800,30,-13.71,-76.2,71.6,16.11
201,port-gentil,40,GA,1545778800,88,-0.72,8.78,80.6,9.17
202,kloulklubed,75,PW,1545781800,83,7.04,134.26,82.4,10.29
203,lompoc,75,US,1545779700,55,34.64,-120.46,64.04,12.75
204,nanortalik,92,GL,1545781673,97,60.14,-45.24,30.57,8.97
205,vysotsk,90,RU,1545780000,92,60.63,28.57,32.0,8.05
206,taoudenni,20,ML,1545781673,40,22.68,-3.98,53.52,10.76
207,merauke,8,ID,1545781674,91,-8.49,140.4,83.63,8.97
208,tripoli,92,GR,1545781674,99,37.51,22.37,30.26,1.48
209,powell river,90,CA,1545781140,93,49.84,-124.52,41.0,5.82
210,de aar,0,ZA,1545781675,36,-30.65,24.01,71.43,7.85
211,yeppoon,40,AU,1545780600,61,-23.13,150.74,80.6,14.99
212,totma,76,RU,1545781675,81,59.98,42.76,13.38,7.52
213,severo-yeniseyskiy,0,RU,1545781675,50,60.37,93.04,-30.23,2.48
214,pacific grove,1,US,1545779700,68,36.62,-121.92,62.06,16.11
215,kyren,0,RU,1545781676,64,51.68,102.13,-37.61,1.92
216,codrington,0,AU,1545778800,53,-28.95,153.24,77.0,6.93
217,hasaki,75,JP,1545780600,80,35.73,140.83,35.6,4.7
218,kudahuvadhoo,80,MV,1545781677,100,2.67,72.89,78.27,2.93
219,lethem,0,GY,1545781677,51,3.38,-59.8,81.92,12.77
220,ancud,76,CL,1545778800,54,-41.87,-73.83,57.2,4.7
221,abeche,32,TD,1545781678,44,13.83,20.83,62.75,9.19
222,chipinge,8,ZW,1545781678,92,-20.19,32.62,70.22,2.71
223,tsilna,90,RU,1545778800,85,54.59,48.14,12.2,11.18
224,concarneau,0,FR,1545778800,93,47.88,-3.92,44.6,5.82
225,saldanha,20,PT,1545781679,84,41.42,-6.55,28.77,2.59
226,georgetown,20,GY,1545778800,88,6.8,-58.16,77.0,9.17
227,goderich,12,CA,1545781680,82,43.74,-81.71,25.8,7.18
228,whitehorse,90,CA,1545778800,91,60.72,-135.06,3.2,2.24
229,pokhara,0,NP,1545781680,63,28.21,83.99,27.87,2.15
230,derzhavinsk,8,KZ,1545781681,66,51.1,66.31,-14.75,12.55
231,jutai,88,BR,1545781681,100,-1.71,-47.89,72.42,4.94
232,karatau,56,KZ,1545781681,89,43.18,70.46,14.06,3.15
233,cacak,90,RS,1545780600,92,43.89,20.34,32.0,6.93
234,yekaterinovka,80,RU,1545781682,93,46.69,38.75,29.18,19.37
235,chegdomyn,56,RU,1545781682,77,51.13,133.04,-13.67,0.92
236,mitsamiouli,20,KM,1545781488,99,-11.38,43.28,81.87,6.96
237,los llanos de aridane,0,ES,1545780600,39,28.66,-17.92,64.4,3.36
238,naryan-mar,48,RU,1545781683,79,67.67,53.09,10.77,15.12
239,boli,24,CN,1545781684,49,45.76,130.56,-3.14,12.44
240,banda aceh,12,ID,1545781684,100,5.56,95.32,72.74,1.92
241,parana,90,BR,1545778800,88,-7.52,-72.89,77.0,3.36
242,fereydun kenar,0,IR,1545781685,85,36.69,52.52,38.99,3.15
243,jaisalmer,0,IN,1545781685,81,26.91,70.91,39.89,2.93
244,killybegs,88,IE,1545781686,96,54.63,-8.45,50.15,13.44
245,boyolangu,100,ID,1545781686,98,-8.09,111.9,71.39,4.5
246,sitka,88,US,1545781686,57,37.17,-99.65,46.32,10.76
247,cato,90,US,1545779400,75,44.14,-87.86,30.92,4.27
248,bronnoysund,92,NO,1545780000,65,65.46,12.2,41.0,14.99
249,khandyga,44,RU,1545781687,58,62.65,135.58,-32.84,2.82
250,maanshan,90,CN,1545778800,100,31.7,118.5,44.6,11.18
251,lyman,48,UA,1545781688,95,48.98,37.82,27.2,9.98
252,bowen,75,AU,1545778800,74,-20.01,148.25,78.8,18.34
253,kavaratti,0,IN,1545781689,100,10.57,72.64,82.73,0.81
254,siilinjarvi,90,FI,1545780000,86,63.08,27.67,32.0,6.93
255,kayiry,80,UA,1545781689,96,46.95,33.71,26.7,16.02
256,port hedland,0,AU,1545780600,52,-20.31,118.58,89.6,6.93
257,tilichiki,88,RU,1545781690,89,60.47,166.1,22.83,4.38
258,praia,75,BR,1545778800,82,-20.25,-43.81,68.0,13.87
259,baykit,12,RU,1545781691,67,61.68,96.39,-35.99,2.71
260,birjand,0,IR,1545778800,73,32.86,59.22,24.8,4.7
261,hamilton,75,BM,1545778500,59,32.3,-64.78,64.4,9.17
262,clyde river,75,CA,1545781380,83,70.47,-68.59,-14.81,14.99
263,lata,0,IN,1545781692,64,30.78,78.62,22.47,2.59
264,bindura,32,ZW,1545781692,91,-17.3,31.33,65.54,2.93
265,labytnangi,64,RU,1545781693,59,66.66,66.39,-1.79,10.2
266,outjo,20,NA,1545781693,97,-20.11,16.16,61.8,3.15
267,marshall,1,US,1545780900,79,39.39,-87.69,44.06,4.7
268,cedar city,40,US,1545778380,88,37.68,-113.06,37.04,4.7
269,kaitangata,36,NZ,1545781694,68,-46.28,169.85,58.52,14.0
270,axim,12,GH,1545781695,100,4.87,-2.24,82.82,14.12
271,creel,0,MX,1545781695,43,27.75,-107.63,48.57,9.53
272,tumpat,75,MY,1545778800,94,6.2,102.17,77.0,4.7
273,trinidad,0,UY,1545781695,54,-33.52,-56.9,77.69,9.75
274,klaksvik,92,FO,1545780000,87,62.23,-6.59,48.2,18.34
275,uray,0,RU,1545781696,74,60.13,64.8,-16.55,8.97
276,fare,80,PF,1545781696,100,-16.7,-151.02,78.59,13.22
277,willemstad,90,NL,1545780300,100,51.69,4.44,42.8,3.36
278,nosy varika,20,MG,1545781697,100,-20.58,48.53,73.64,1.48
279,kupang,40,ID,1545780600,94,-10.16,123.6,80.6,2.24
280,panjab,68,AF,1545781698,65,34.38,67.02,-1.7,2.04
281,tateyama,75,JP,1545778800,81,36.66,137.31,42.8,3.36
282,san policarpo,64,PH,1545781698,100,12.18,125.51,79.67,6.96
283,kyzyl-suu,0,KG,1545781699,100,42.34,78.0,18.65,8.63
284,belyy yar,20,RU,1545780600,75,53.6,91.39,-20.21,2.24
285,rapid valley,90,US,1545780900,92,44.06,-103.15,29.12,8.05
286,kruisfontein,0,ZA,1545781700,91,-34.0,24.73,64.46,4.72
287,yako,0,BF,1545781700,45,12.96,-2.26,57.3,5.5
288,nome,75,US,1545779700,79,30.04,-94.42,68.0,6.93
289,saint anthony,90,US,1545780900,85,43.97,-111.68,30.92,5.82
290,ucluelet,75,CA,1545778800,93,48.94,-125.55,42.8,3.36
291,puerto colombia,0,CO,1545778800,78,10.99,-74.96,78.8,11.41
292,namatanai,68,PG,1545781701,100,-3.66,152.44,82.82,8.19
293,severo-kurilsk,64,RU,1545781702,100,50.68,156.12,26.93,11.21
294,port lincoln,12,AU,1545781702,80,-34.72,135.86,70.85,4.94
295,ignacio zaragoza,40,MX,1545778080,44,20.02,-99.32,69.8,6.93
296,muisne,75,EC,1545778800,83,0.61,-80.02,80.6,9.17
297,kurmanayevka,92,RU,1545781703,89,52.51,52.07,11.58,14.23
298,mount isa,0,AU,1545780600,32,-20.73,139.49,93.2,16.11
299,charters towers,44,AU,1545781704,77,-20.07,146.27,79.62,13.33
300,barcelos,0,PT,1545778800,81,41.53,-8.62,50.0,10.29
301,binga,36,ZW,1545781704,72,-17.62,27.34,78.9,4.94
302,kodinsk,76,RU,1545781705,79,58.6,99.18,-17.99,4.94
303,yulara,0,AU,1545778800,7,-25.24,130.99,91.4,14.99
304,bakal,56,RU,1545781705,56,54.94,58.81,-12.0,2.71
305,koroni,76,GR,1545781706,100,36.8,21.96,49.02,18.37
306,lorengau,92,PG,1545781706,100,-2.02,147.27,81.83,8.41
307,thabazimbi,8,ZA,1545781706,70,-24.59,27.41,64.95,4.16
308,west wendover,90,US,1545778560,89,40.74,-114.07,35.96,3.36
309,saquarema,75,BR,1545778800,74,-22.93,-42.51,78.8,9.17
310,praia da vitoria,20,PT,1545778800,87,38.73,-27.07,59.0,15.35
311,port augusta,0,AU,1545778800,42,-32.49,137.76,80.6,5.82
312,poykovskiy,0,RU,1545780600,62,61.23,73.33,-14.81,8.95
313,westport,68,IE,1545781535,95,53.8,-9.52,50.96,14.12
314,gamboma,88,CG,1545781708,97,-1.87,15.88,71.43,8.3
315,geraldton,90,CA,1545778800,78,49.72,-86.95,14.0,4.7
316,inhambane,0,MZ,1545781709,92,-23.87,35.38,77.87,14.34
317,rio gallegos,40,AR,1545778800,27,-51.62,-69.22,62.6,20.8
318,maniitsoq,56,GL,1545781709,90,65.42,-52.9,29.22,4.5
319,kamaishi,75,JP,1545778800,80,39.28,141.86,35.6,3.36
320,kawalu,36,ID,1545781710,95,-7.38,108.21,67.47,1.25
321,acapulco,5,MX,1545778020,74,16.86,-99.88,84.2,6.17
322,wundanyi,44,KE,1545781711,97,-3.4,38.37,66.53,2.93
323,nicoya,0,CR,1545778800,51,10.15,-85.45,84.2,23.04
324,shimanovsk,48,RU,1545781711,63,52.0,127.67,-8.45,6.17
325,sayyan,0,YE,1545781711,68,15.17,44.32,23.28,1.92
326,ambon,0,FR,1545778800,93,47.55,-2.56,41.0,9.17
327,honiara,92,SB,1545781712,99,-9.43,159.96,77.78,2.71
328,innisfail,90,CA,1545778800,92,52.02,-113.95,19.4,3.36
329,hudson bay,56,CA,1545781713,74,52.86,-102.4,2.54,2.37
330,kununurra,44,AU,1545781200,70,-15.77,128.74,89.6,3.36
331,teya,90,MX,1545777840,58,21.05,-89.07,82.4,5.82
332,kidal,0,ML,1545781714,59,18.44,1.41,49.25,6.51
333,bismarck,90,US,1545779700,100,46.81,-100.78,17.06,9.17
334,saint george,40,GR,1545778200,51,39.45,22.34,37.4,16.11
335,elat,12,CM,1545781715,95,2.91,11.16,68.06,2.71
336,laela,68,TZ,1545781715,90,-8.57,32.05,54.92,2.15
337,ruston,90,US,1545780900,76,32.52,-92.64,66.02,4.16
338,sao felix do xingu,24,BR,1545781716,90,-6.64,-51.99,76.97,2.04
339,longyearbyen,90,NO,1545778200,92,78.22,15.63,14.0,6.93
340,straseni,90,MD,1545780600,85,47.14,28.61,32.0,13.87
341,kaabong,0,UG,1545781716,83,3.51,34.14,53.43,2.37
342,kendari,36,ID,1545781717,86,-3.99,122.52,81.2,5.95
343,cap malheureux,20,MU,1545778800,88,-19.98,57.61,75.2,2.24
344,poum,0,MK,1545781717,85,41.28,20.71,11.58,1.59
345,hato mayor,20,DO,1545778800,78,18.76,-69.26,80.6,6.93
346,kemin,0,KG,1545781718,71,42.79,75.7,5.87,3.38
347,ambilobe,76,MG,1545781718,92,-13.19,49.05,75.26,8.19
348,alekseyevsk,0,RU,1545781719,0,57.84,108.35,-50.03,2.59
349,wanning,90,AT,1545780000,80,48.64,13.53,33.8,10.29
350,calama,0,CL,1545778800,14,-22.46,-68.93,71.6,23.04
351,sioux lookout,90,CA,1545778800,85,50.1,-91.92,12.2,6.93
352,koindu,0,LR,1545781720,60,8.2,-10.37,65.0,3.04
353,kibala,0,TD,1545778800,49,9.11,18.35,68.0,2.71
354,poya,92,NC,1545781720,100,-21.35,165.16,77.55,19.15
355,kavieng,92,PG,1545781721,100,-2.57,150.8,79.53,11.65
356,roma,0,IT,1545780000,60,41.89,12.48,42.8,5.82
357,alta floresta,32,BR,1545781722,96,-9.87,-56.08,76.92,0.58
358,moranbah,0,AU,1545781722,46,-22.0,148.04,83.36,14.12
359,sawakin,8,SD,1545781722,100,19.1,37.33,69.59,5.73
360,zabol,0,IR,1545781722,100,31.03,61.49,42.72,11.77
361,damara,0,CF,1545778800,77,4.96,18.7,68.0,2.82
362,wamba,0,CD,1545781723,91,2.14,27.99,67.83,2.04
363,knysna,0,ZA,1545781723,93,-34.04,23.05,68.51,3.94
364,coolum beach,0,AU,1545781724,75,-26.53,153.09,76.83,7.29
365,okhotsk,48,RU,1545781724,100,59.36,143.24,-6.38,8.63
366,nishihara,75,JP,1545780600,80,35.74,139.53,42.8,1.12
367,saint-paul,0,FR,1545778800,68,45.22,1.9,30.2,4.7
368,tucuman,32,PE,1545781725,63,-17.17,-70.89,62.84,2.59
369,gamba,0,CN,1545781725,48,28.28,88.52,-6.29,7.07
370,mahebourg,20,MU,1545778800,88,-20.41,57.7,75.2,2.24
371,taltal,0,CL,1545781726,72,-25.41,-70.49,65.4,2.71
372,mumford,12,GH,1545781726,85,5.26,-0.76,79.17,9.53
373,berlevag,80,NO,1545781727,100,70.86,29.09,11.18,4.72
374,northam,64,GB,1545778200,100,51.04,-4.21,46.4,2.24
375,sol-iletsk,80,RU,1545781727,78,51.16,55.0,4.61,12.44
376,port keats,88,AU,1545781727,100,-14.25,129.55,82.37,5.06
377,flinders,0,AU,1545781728,61,-34.58,150.85,79.94,2.82
378,saint-augustin,68,FR,1545778800,93,44.83,-0.61,44.6,2.24
379,maxixe,0,MZ,1545781728,92,-23.86,35.35,77.87,14.34
380,broome,76,GB,1545780360,93,52.47,1.45,44.6,9.17
381,prince rupert,1,CA,1545778800,100,54.32,-130.32,39.2,9.17
382,rock sound,36,BS,1545781729,100,24.9,-76.2,74.81,21.83
383,aloleng,0,PH,1545781730,100,16.13,119.78,78.59,5.95
384,kelamangalam,40,IN,1545780600,100,12.61,77.86,62.6,2.24
385,kumluca,44,TR,1545781730,100,36.37,30.29,39.48,0.92
